,,,,3.717547e+01,3.714932e+01,3.717547e+01,3.720161e+01,3.721468e+01,3.721468e+01,3.724081e+01,3.714932e+01,3.705775e+01,3.718854e+01,3.703157e+01,3.717547e+01,3.717547e+01,3.709700e+01,3.708392e+01,3.711009e+01,3.707084e+01,3.709700e+01,3.714932e+01,3.720161e+01,3.724081e+01,3.724081e+01,3.726694e+01,3.726694e+01,3.727999e+01,3.714932e+01,3.713625e+01,3.718854e+01,3.721468e+01,3.717547e+01,3.709700e+01,3.705775e+01,3.700539e+01,3.701849e+01,3.709700e+01,3.703157e+01,3.704467e+01,3.714932e+01,3.709700e+01,3.721468e+01,3.735833e+01,3.720161e+01,3.727999e+01,3.734528e+01,3.734528e+01,3.721468e+01,3.717547e+01,3.712317e+01,3.717547e+01,3.709700e+01,3.709700e+01,3.730611e+01,3.712317e+01,3.712317e+01,3.709700e+01,3.709700e+01,3.712317e+01,3.713625e+01,3.717547e+01,3.720161e+01,3.724081e+01,3.718854e+01,3.721468e+01,3.720161e+01,3.721468e+01,3.717547e+01,3.709700e+01,3.707084e+01,3.712317e+01,3.713625e+01,3.711009e+01,3.713625e+01,3.716240e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.720161e+01,3.720161e+01,3.720161e+01,3.722775e+01,3.718854e+01,3.725387e+01,3.724081e+01,3.721468e+01,3.721468e+01,3.714932e+01,3.713625e+01,3.700539e+01,3.708392e+01,,,
,,,3.716240e+01,3.716240e+01,3.717547e+01,3.721468e+01,3.721468e+01,3.724081e+01,3.724081e+01,3.725387e+01,3.726694e+01,3.722775e+01,3.737138e+01,3.722775e+01,3.733222e+01,3.722775e+01,3.712317e+01,3.709700e+01,3.705775e+01,3.705775e+01,3.711009e+01,3.722775e+01,3.725387e+01,3.727999e+01,3.729306e+01,3.727999e+01,3.727999e+01,3.726694e+01,3.724081e+01,3.718854e+01,3.720161e+01,3.721468e+01,3.716240e+01,3.707084e+01,3.707084e+01,3.708392e+01,3.704467e+01,3.703157e+01,3.701849e+01,3.704467e+01,3.701849e+01,3.709700e+01,3.716240e+01,3.727999e+01,3.720161e+01,3.737138e+01,3.744964e+01,3.737138e+01,3.716240e+01,3.714932e+01,3.713625e+01,3.712317e+01,3.714932e+01,3.718854e+01,3.708392e+01,3.727999e+01,3.714932e+01,3.714932e+01,3.714932e+01,3.713625e+01,3.713625e+01,3.713625e+01,3.718854e+01,3.726694e+01,3.722775e+01,3.725387e+01,3.729306e+01,3.729306e+01,3.718854e+01,3.709700e+01,3.713625e+01,3.713625e+01,3.716240e+01,3.714932e+01,3.711009e+01,3.712317e+01,3.714932e+01,3.717547e+01,3.713625e+01,3.713625e+01,3.721468e+01,3.716240e+01,3.713625e+01,3.716240e+01,3.722775e+01,3.721468e+01,3.713625e+01,3.724081e+01,3.721468e+01,3.720161e+01,3.711009e+01,3.709700e+01,,,
,,,3.713625e+01,3.712317e+01,3.720161e+01,3.722775e+01,3.718854e+01,3.722775e+01,3.725387e+01,3.714932e+01,3.726694e+01,3.717547e+01,3.716240e+01,3.712317e+01,3.717547e+01,3.720161e+01,3.718854e+01,3.713625e+01,3.713625e+01,3.712317e+01,3.708392e+01,3.713625e+01,3.726694e+01,3.720161e+01,3.720161e+01,3.729306e+01,3.720161e+01,3.722775e+01,3.725387e+01,3.713625e+01,3.711009e+01,3.717547e+01,3.717547e+01,3.716240e+01,3.714932e+01,3.707084e+01,3.700539e+01,3.699230e+01,3.700539e+01,3.711009e+01,3.712317e+01,3.712317e+01,3.716240e+01,3.724081e+01,3.730611e+01,3.730611e+01,3.725387e+01,3.718854e+01,3.716240e+01,3.720161e+01,3.727999e+01,3.721468e+01,3.713625e+01,3.711009e+01,3.722775e+01,3.729306e+01,3.713625e+01,3.721468e+01,3.716240e+01,3.716240e+01,3.718854e+01,3.716240e+01,3.718854e+01,3.713625e+01,3.722775e+01,3.727999e+01,3.737138e+01,3.731917e+01,3.716240e+01,3.714932e+01,3.713625e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.718854e+01,3.717547e+01,3.717547e+01,3.718854e+01,3.718854e+01,3.718854e+01,3.718854e+01,3.714932e+01,3.724081e+01,3.717547e+01,3.714932e+01,3.714932e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.720161e+01,3.713625e+01,3.709700e+01,,,
,,,3.724081e+01,3.724081e+01,3.716240e+01,3.714932e+01,3.714932e+01,3.717547e+01,3.722775e+01,3.727999e+01,3.724081e+01,3.709700e+01,3.714932e+01,3.722775e+01,3.722775e+01,3.720161e+01,3.714932e+01,3.713625e+01,3.720161e+01,3.713625e+01,3.712317e+01,3.720161e+01,3.725387e+01,3.733222e+01,3.733222e+01,3.725387e+01,3.725387e+01,3.726694e+01,3.724081e+01,3.721468e+01,3.722775e+01,3.712317e+01,3.707084e+01,3.709700e+01,3.707084e+01,3.703157e+01,3.699230e+01,3.705775e+01,3.711009e+01,3.705775e+01,3.705775e+01,3.720161e+01,3.725387e+01,3.725387e+01,3.726694e+01,3.729306e+01,3.725387e+01,3.722775e+01,3.722775e+01,3.720161e+01,3.729306e+01,3.720161e+01,3.720161e+01,3.738442e+01,3.727999e+01,3.714932e+01,3.707084e+01,3.711009e+01,3.711009e+01,3.712317e+01,3.709700e+01,3.713625e+01,3.711009e+01,3.716240e+01,3.724081e+01,3.712317e+01,3.725387e+01,3.724081e+01,3.720161e+01,3.726694e+01,3.726694e+01,3.722775e+01,3.717547e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.718854e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.722775e+01,3.724081e+01,3.725387e+01,3.722775e+01,3.718854e+01,3.721468e+01,3.717547e+01,3.716240e+01,3.717547e+01,3.718854e+01,3.717547e+01,3.707084e+01,3.713625e+01,,
,,3.714932e+01,3.711009e+01,3.718854e+01,3.718854e+01,3.717547e+01,3.720161e+01,3.724081e+01,3.726694e+01,3.720161e+01,3.721468e+01,3.730611e+01,3.722775e+01,3.725387e+01,3.713625e+01,3.714932e+01,3.713625e+01,3.718854e+01,3.724081e+01,3.716240e+01,3.711009e+01,3.717547e+01,3.721468e+01,3.727999e+01,3.722775e+01,3.726694e+01,3.725387e+01,3.727999e+01,3.726694e+01,3.725387e+01,3.721468e+01,3.717547e+01,3.714932e+01,3.711009e+01,3.707084e+01,3.705775e+01,3.708392e+01,3.713625e+01,3.711009e+01,3.716240e+01,3.714932e+01,3.716240e+01,3.722775e+01,3.721468e+01,3.717547e+01,3.721468e+01,3.718854e+01,3.718854e+01,3.726694e+01,3.708392e+01,3.724081e+01,3.721468e+01,3.701849e+01,3.709700e+01,3.717547e+01,3.707084e+01,3.709700e+01,3.721468e+01,3.711009e+01,3.718854e+01,3.712317e+01,3.716240e+01,3.716240e+01,3.724081e+01,3.726694e+01,3.724081e+01,3.722775e+01,3.716240e+01,3.713625e+01,3.714932e+01,3.718854e+01,3.725387e+01,3.721468e+01,3.717547e+01,3.717547e+01,3.716240e+01,3.716240e+01,3.713625e+01,3.716240e+01,3.724081e+01,3.724081e+01,3.720161e+01,3.716240e+01,3.717547e+01,3.716240e+01,3.716240e+01,3.714932e+01,3.716240e+01,3.716240e+01,3.713625e+01,3.713625e+01,3.718854e+01,3.712317e+01,,
,,3.713625e+01,3.709700e+01,3.711009e+01,3.713625e+01,3.714932e+01,3.716240e+01,3.716240e+01,3.718854e+01,3.716240e+01,3.721468e+01,3.714932e+01,3.726694e+01,3.709700e+01,3.721468e+01,3.724081e+01,3.717547e+01,3.724081e+01,3.722775e+01,3.721468e+01,3.718854e+01,3.726694e+01,3.731917e+01,3.722775e+01,3.722775e+01,3.727999e+01,3.726694e+01,3.726694e+01,3.725387e+01,3.724081e+01,3.722775e+01,3.717547e+01,3.709700e+01,3.707084e+01,3.707084e+01,3.701849e+01,3.703157e+01,3.708392e+01,3.712317e+01,3.714932e+01,3.714932e+01,3.724081e+01,3.724081e+01,3.720161e+01,3.722775e+01,3.721468e+01,3.718854e+01,3.726694e+01,3.718854e+01,3.712317e+01,3.716240e+01,3.718854e+01,3.707084e+01,3.718854e+01,3.705775e+01,3.701849e+01,3.725387e+01,3.730611e+01,3.730611e+01,3.717547e+01,3.713625e+01,3.720161e+01,3.722775e+01,3.721468e+01,3.718854e+01,3.717547e+01,3.722775e+01,3.720161e+01,3.714932e+01,3.712317e+01,3.713625e+01,3.717547e+01,3.717547e+01,3.717547e+01,3.717547e+01,3.716240e+01,3.722775e+01,3.720161e+01,3.714932e+01,3.722775e+01,3.727999e+01,3.724081e+01,3.717547e+01,3.725387e+01,3.718854e+01,3.707084e+01,3.717547e+01,3.717547e+01,3.722775e+01,3.718854e+01,3.711009e+01,3.716240e+01,3.714932e+01,3.711009e+01,
,,3.711009e+01,3.713625e+01,3.713625e+01,3.712317e+01,3.708392e+01,3.711009e+01,3.713625e+01,3.712317e+01,3.711009e+01,3.714932e+01,3.713625e+01,3.718854e+01,3.729306e+01,3.712317e+01,3.693991e+01,3.725387e+01,3.722775e+01,3.714932e+01,3.716240e+01,3.716240e+01,3.716240e+01,3.717547e+01,3.717547e+01,3.725387e+01,3.722775e+01,3.725387e+01,3.725387e+01,3.725387e+01,3.720161e+01,3.721468e+01,3.717547e+01,3.717547e+01,3.720161e+01,3.716240e+01,3.709700e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.713625e+01,3.708392e+01,3.713625e+01,3.721468e+01,3.718854e+01,3.716240e+01,3.716240e+01,3.720161e+01,3.716240e+01,3.717547e+01,3.713625e+01,3.711009e+01,3.721468e+01,3.717547e+01,3.724081e+01,3.716240e+01,3.711009e+01,3.716240e+01,3.722775e+01,3.714932e+01,3.712317e+01,3.714932e+01,3.716240e+01,3.718854e+01,3.722775e+01,3.722775e+01,3.713625e+01,3.711009e+01,3.712317e+01,3.713625e+01,3.708392e+01,3.709700e+01,3.714932e+01,3.717547e+01,3.717547e+01,3.720161e+01,3.721468e+01,3.717547e+01,3.716240e+01,3.713625e+01,3.717547e+01,3.726694e+01,3.720161e+01,3.716240e+01,3.727999e+01,3.722775e+01,3.709700e+01,3.718854e+01,3.722775e+01,3.726694e+01,3.714932e+01,3.717547e+01,3.716240e+01,3.721468e+01,3.711009e+01,
,3.720161e+01,3.718854e+01,3.721468e+01,3.720161e+01,3.716240e+01,3.717547e+01,3.722775e+01,3.720161e+01,3.716240e+01,3.717547e+01,3.724081e+01,3.714932e+01,3.721468e+01,3.721468e+01,3.708392e+01,3.708392e+01,3.713625e+01,3.724081e+01,3.721468e+01,3.725387e+01,3.718854e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.718854e+01,3.722775e+01,3.725387e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.714932e+01,3.714932e+01,3.718854e+01,3.724081e+01,3.718854e+01,3.708392e+01,3.712317e+01,3.716240e+01,3.712317e+01,3.711009e+01,3.713625e+01,3.714932e+01,3.711009e+01,3.716240e+01,3.713625e+01,3.716240e+01,3.721468e+01,3.724081e+01,3.726694e+01,3.725387e+01,3.716240e+01,3.717547e+01,3.721468e+01,3.720161e+01,3.714932e+01,3.718854e+01,3.717547e+01,3.712317e+01,3.704467e+01,3.722775e+01,3.721468e+01,3.716240e+01,3.717547e+01,3.721468e+01,3.722775e+01,3.713625e+01,3.718854e+01,3.722775e+01,3.714932e+01,3.711009e+01,3.714932e+01,3.712317e+01,3.714932e+01,3.713625e+01,3.712317e+01,3.714932e+01,3.709700e+01,3.707084e+01,3.712317e+01,3.720161e+01,3.725387e+01,3.717547e+01,3.717547e+01,3.721468e+01,3.726694e+01,3.717547e+01,3.720161e+01,3.720161e+01,3.724081e+01,3.714932e+01,3.709700e+01,3.709700e+01,3.711009e+01,3.714932e+01,
,3.724081e+01,3.722775e+01,3.724081e+01,3.724081e+01,3.718854e+01,3.720161e+01,3.712317e+01,3.717547e+01,3.725387e+01,3.717547e+01,3.714932e+01,3.717547e+01,3.724081e+01,3.720161e+01,3.718854e+01,3.701849e+01,3.725387e+01,3.722775e+01,3.718854e+01,3.708392e+01,3.716240e+01,3.712317e+01,3.714932e+01,3.718854e+01,3.720161e+01,3.720161e+01,3.724081e+01,3.721468e+01,3.724081e+01,3.722775e+01,3.717547e+01,3.712317e+01,3.713625e+01,3.720161e+01,3.716240e+01,3.709700e+01,3.709700e+01,3.713625e+01,3.713625e+01,3.712317e+01,3.717547e+01,3.718854e+01,3.717547e+01,3.718854e+01,3.716240e+01,3.714932e+01,3.717547e+01,3.720161e+01,3.727999e+01,3.721468e+01,3.716240e+01,3.720161e+01,3.720161e+01,3.718854e+01,3.718854e+01,3.716240e+01,3.726694e+01,3.722775e+01,3.714932e+01,3.716240e+01,3.718854e+01,3.716240e+01,3.716240e+01,3.716240e+01,3.717547e+01,3.711009e+01,3.714932e+01,3.725387e+01,3.718854e+01,3.713625e+01,3.714932e+01,3.709700e+01,3.708392e+01,3.709700e+01,3.712317e+01,3.714932e+01,3.713625e+01,3.708392e+01,3.709700e+01,3.713625e+01,3.712317e+01,3.713625e+01,3.711009e+01,3.711009e+01,3.709700e+01,3.712317e+01,3.718854e+01,3.709700e+01,3.721468e+01,3.722775e+01,3.711009e+01,3.713625e+01,3.700539e+01,3.720161e+01,
,3.709700e+01,3.721468e+01,3.718854e+01,3.720161e+01,3.722775e+01,3.721468e+01,3.721468e+01,3.712317e+01,3.714932e+01,3.724081e+01,3.713625e+01,3.716240e+01,3.716240e+01,3.709700e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.725387e+01,3.722775e+01,3.716240e+01,3.721468e+01,3.718854e+01,3.720161e+01,3.718854e+01,3.721468e+01,3.724081e+01,3.720161e+01,3.722775e+01,3.724081e+01,3.721468e+01,3.718854e+01,3.712317e+01,3.713625e+01,3.716240e+01,3.718854e+01,3.716240e+01,3.708392e+01,3.709700e+01,3.712317e+01,3.712317e+01,3.713625e+01,3.718854e+01,3.717547e+01,3.717547e+01,3.718854e+01,3.716240e+01,3.718854e+01,3.726694e+01,3.727999e+01,3.725387e+01,3.722775e+01,3.720161e+01,3.725387e+01,3.721468e+01,3.726694e+01,3.720161e+01,3.730611e+01,3.726694e+01,3.724081e+01,3.714932e+01,3.717547e+01,3.713625e+01,3.714932e+01,3.716240e+01,3.709700e+01,3.709700e+01,3.713625e+01,3.726694e+01,3.720161e+01,3.714932e+01,3.720161e+01,3.725387e+01,3.721468e+01,3.718854e+01,3.720161e+01,3.718854e+01,3.716240e+01,3.712317e+01,3.709700e+01,3.709700e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.717547e+01,3.714932e+01,3.714932e+01,3.717547e+01,3.718854e+01,3.720161e+01,3.724081e+01,3.721468e+01,3.712317e+01,3.713625e+01,3.721468e+01,3.724081e+01
,3.712317e+01,3.722775e+01,3.720161e+01,3.716240e+01,3.713625e+01,3.717547e+01,3.724081e+01,3.720161e+01,3.718854e+01,3.721468e+01,3.722775e+01,3.720161e+01,3.713625e+01,3.716240e+01,3.717547e+01,3.714932e+01,3.720161e+01,3.724081e+01,3.717547e+01,3.717547e+01,3.714932e+01,3.716240e+01,3.722775e+01,3.720161e+01,3.713625e+01,3.720161e+01,3.716240e+01,3.720161e+01,3.720161e+01,3.714932e+01,3.712317e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.714932e+01,3.717547e+01,3.716240e+01,3.713625e+01,3.712317e+01,3.713625e+01,3.714932e+01,3.718854e+01,3.720161e+01,3.721468e+01,3.721468e+01,3.720161e+01,3.713625e+01,3.720161e+01,3.725387e+01,3.725387e+01,3.720161e+01,3.724081e+01,3.726694e+01,3.725387e+01,3.724081e+01,3.722775e+01,3.722775e+01,3.718854e+01,3.731917e+01,3.724081e+01,3.722775e+01,3.714932e+01,3.716240e+01,3.714932e+01,3.709700e+01,3.709700e+01,3.709700e+01,3.721468e+01,3.718854e+01,3.724081e+01,3.720161e+01,3.724081e+01,3.726694e+01,3.720161e+01,3.721468e+01,3.718854e+01,3.713625e+01,3.713625e+01,3.709700e+01,3.709700e+01,3.711009e+01,3.709700e+01,3.712317e+01,3.713625e+01,3.714932e+01,3.712317e+01,3.713625e+01,3.721468e+01,3.716240e+01,3.724081e+01,3.727999e+01,3.713625e+01,3.714932e+01,3.711009e+01,3.724081e+01
3.714932e+01,3.714932e+01,3.709700e+01,3.709700e+01,3.713625e+01,3.716240e+01,3.724081e+01,3.716240e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.712317e+01,3.713625e+01,3.714932e+01,3.722775e+01,3.724081e+01,3.725387e+01,3.722775e+01,3.725387e+01,3.720161e+01,3.713625e+01,3.713625e+01,3.718854e+01,3.724081e+01,3.722775e+01,3.717547e+01,3.717547e+01,3.718854e+01,3.724081e+01,3.725387e+01,3.718854e+01,3.712317e+01,3.712317e+01,3.713625e+01,3.713625e+01,3.708392e+01,3.721468e+01,3.725387e+01,3.717547e+01,3.718854e+01,3.712317e+01,3.714932e+01,3.718854e+01,3.720161e+01,3.714932e+01,3.716240e+01,3.707084e+01,3.713625e+01,3.709700e+01,3.720161e+01,3.724081e+01,3.724081e+01,3.726694e+01,3.724081e+01,3.724081e+01,3.713625e+01,3.722775e+01,3.718854e+01,3.708392e+01,3.726694e+01,3.722775e+01,3.716240e+01,3.711009e+01,3.712317e+01,3.713625e+01,3.711009e+01,3.712317e+01,3.721468e+01,3.721468e+01,3.716240e+01,3.717547e+01,3.713625e+01,3.716240e+01,3.720161e+01,3.721468e+01,3.718854e+01,3.714932e+01,3.717547e+01,3.718854e+01,3.709700e+01,3.709700e+01,3.711009e+01,3.708392e+01,3.707084e+01,3.705775e+01,3.705775e+01,3.713625e+01,3.713625e+01,3.718854e+01,3.717547e+01,3.725387e+01,3.729306e+01,3.713625e+01,3.712317e+01,3.707084e+01,3.714932e+01
3.717547e+01,3.716240e+01,3.712317e+01,3.713625e+01,3.716240e+01,3.717547e+01,3.726694e+01,3.725387e+01,3.718854e+01,3.717547e+01,3.718854e+01,3.716240e+01,3.713625e+01,3.716240e+01,3.721468e+01,3.721468e+01,3.721468e+01,3.725387e+01,3.716240e+01,3.721468e+01,3.720161e+01,3.714932e+01,3.717547e+01,3.721468e+01,3.729306e+01,3.722775e+01,3.717547e+01,3.714932e+01,3.720161e+01,3.725387e+01,3.722775e+01,3.725387e+01,3.722775e+01,3.721468e+01,3.718854e+01,3.713625e+01,3.722775e+01,3.724081e+01,3.714932e+01,3.721468e+01,3.721468e+01,3.713625e+01,3.717547e+01,3.718854e+01,3.720161e+01,3.713625e+01,3.714932e+01,3.718854e+01,3.712317e+01,3.720161e+01,3.724081e+01,3.720161e+01,3.724081e+01,3.713625e+01,3.722775e+01,3.721468e+01,3.722775e+01,3.714932e+01,3.705775e+01,3.712317e+01,3.718854e+01,3.716240e+01,3.708392e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.714932e+01,3.721468e+01,3.721468e+01,3.714932e+01,3.709700e+01,3.713625e+01,3.714932e+01,3.720161e+01,3.724081e+01,3.718854e+01,3.716240e+01,3.718854e+01,3.716240e+01,3.711009e+01,3.711009e+01,3.713625e+01,3.712317e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.722775e+01,3.720161e+01,3.721468e+01,3.718854e+01,3.717547e+01,3.724081e+01,3.717547e+01,3.722775e+01,3.705775e+01,3.707084e+01
3.716240e+01,3.718854e+01,3.717547e+01,3.718854e+01,3.718854e+01,3.725387e+01,3.729306e+01,3.721468e+01,3.717547e+01,3.726694e+01,3.716240e+01,3.718854e+01,3.709700e+01,3.712317e+01,3.721468e+01,3.739747e+01,3.720161e+01,3.729306e+01,3.709700e+01,3.713625e+01,3.716240e+01,3.717547e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.725387e+01,3.718854e+01,3.718854e+01,3.725387e+01,3.724081e+01,3.722775e+01,3.729306e+01,3.726694e+01,3.721468e+01,3.726694e+01,3.725387e+01,3.726694e+01,3.730611e+01,3.726694e+01,3.725387e+01,3.718854e+01,3.711009e+01,3.713625e+01,3.718854e+01,3.721468e+01,3.721468e+01,3.724081e+01,3.724081e+01,3.720161e+01,3.720161e+01,3.716240e+01,3.722775e+01,3.720161e+01,3.718854e+01,3.725387e+01,3.730611e+01,3.724081e+01,3.717547e+01,3.708392e+01,3.704467e+01,3.722775e+01,3.716240e+01,3.705775e+01,3.707084e+01,3.708392e+01,3.709700e+01,3.716240e+01,3.716240e+01,3.712317e+01,3.713625e+01,3.717547e+01,3.714932e+01,3.714932e+01,3.721468e+01,3.722775e+01,3.722775e+01,3.718854e+01,3.712317e+01,3.712317e+01,3.711009e+01,3.709700e+01,3.712317e+01,3.713625e+01,3.712317e+01,3.713625e+01,3.717547e+01,3.721468e+01,3.722775e+01,3.718854e+01,3.720161e+01,3.714932e+01,3.724081e+01,3.725387e+01,3.727999e+01,3.711009e+01,3.713625e+01
3.714932e+01,3.716240e+01,3.717547e+01,3.717547e+01,3.717547e+01,3.718854e+01,3.717547e+01,3.718854e+01,3.720161e+01,3.720161e+01,3.724081e+01,3.713625e+01,3.717547e+01,3.716240e+01,3.720161e+01,3.731917e+01,3.722775e+01,3.722775e+01,3.712317e+01,3.709700e+01,3.712317e+01,3.716240e+01,3.712317e+01,3.717547e+01,3.717547e+01,3.721468e+01,3.721468e+01,3.714932e+01,3.721468e+01,3.717547e+01,3.716240e+01,3.718854e+01,3.720161e+01,3.713625e+01,3.717547e+01,3.718854e+01,3.725387e+01,3.731917e+01,3.725387e+01,3.717547e+01,3.711009e+01,3.711009e+01,3.713625e+01,3.717547e+01,3.720161e+01,3.724081e+01,3.721468e+01,3.724081e+01,3.722775e+01,3.721468e+01,3.712317e+01,3.722775e+01,3.718854e+01,3.718854e+01,3.722775e+01,3.721468e+01,3.720161e+01,3.717547e+01,3.712317e+01,3.712317e+01,3.717547e+01,3.708392e+01,3.709700e+01,3.705775e+01,3.709700e+01,3.711009e+01,3.714932e+01,3.716240e+01,3.711009e+01,3.720161e+01,3.724081e+01,3.718854e+01,3.718854e+01,3.721468e+01,3.720161e+01,3.720161e+01,3.714932e+01,3.709700e+01,3.711009e+01,3.708392e+01,3.707084e+01,3.712317e+01,3.714932e+01,3.714932e+01,3.714932e+01,3.713625e+01,3.718854e+01,3.721468e+01,3.717547e+01,3.720161e+01,3.720161e+01,3.720161e+01,3.720161e+01,3.727999e+01,3.722775e+01,3.721468e+01
3.716240e+01,3.718854e+01,3.717547e+01,3.717547e+01,3.721468e+01,3.716240e+01,3.709700e+01,3.714932e+01,3.716240e+01,3.713625e+01,3.724081e+01,3.718854e+01,3.718854e+01,3.718854e+01,3.718854e+01,3.720161e+01,3.713625e+01,3.714932e+01,3.717547e+01,3.712317e+01,3.704467e+01,3.711009e+01,3.712317e+01,3.712317e+01,3.716240e+01,3.718854e+01,3.724081e+01,3.720161e+01,3.724081e+01,3.714932e+01,3.721468e+01,3.717547e+01,3.714932e+01,3.712317e+01,3.711009e+01,3.713625e+01,3.718854e+01,3.717547e+01,3.718854e+01,3.722775e+01,3.722775e+01,3.718854e+01,3.716240e+01,3.720161e+01,3.721468e+01,3.722775e+01,3.721468e+01,3.722775e+01,3.724081e+01,3.724081e+01,3.718854e+01,3.713625e+01,3.714932e+01,3.714932e+01,3.716240e+01,3.716240e+01,3.717547e+01,3.711009e+01,3.709700e+01,3.713625e+01,3.708392e+01,3.704467e+01,3.711009e+01,3.707084e+01,3.712317e+01,3.718854e+01,3.718854e+01,3.722775e+01,3.721468e+01,3.724081e+01,3.722775e+01,3.718854e+01,3.721468e+01,3.724081e+01,3.718854e+01,3.713625e+01,3.709700e+01,3.708392e+01,3.711009e+01,3.709700e+01,3.711009e+01,3.712317e+01,3.718854e+01,3.722775e+01,3.717547e+01,3.718854e+01,3.722775e+01,3.725387e+01,3.724081e+01,3.718854e+01,3.724081e+01,3.720161e+01,3.722775e+01,3.727999e+01,3.717547e+01,3.717547e+01
3.716240e+01,3.716240e+01,3.714932e+01,3.717547e+01,3.722775e+01,3.716240e+01,3.713625e+01,3.716240e+01,3.722775e+01,3.725387e+01,3.722775e+01,3.720161e+01,3.718854e+01,3.717547e+01,3.724081e+01,3.713625e+01,3.712317e+01,3.712317e+01,3.714932e+01,3.714932e+01,3.705775e+01,3.707084e+01,3.712317e+01,3.714932e+01,3.714932e+01,3.720161e+01,3.721468e+01,3.721468e+01,3.721468e+01,3.717547e+01,3.720161e+01,3.716240e+01,3.711009e+01,3.711009e+01,3.717547e+01,3.716240e+01,3.712317e+01,3.711009e+01,3.716240e+01,3.721468e+01,3.721468e+01,3.720161e+01,3.717547e+01,3.722775e+01,3.721468e+01,3.724081e+01,3.724081e+01,3.724081e+01,3.725387e+01,3.724081e+01,3.718854e+01,3.714932e+01,3.714932e+01,3.720161e+01,3.713625e+01,3.713625e+01,3.714932e+01,3.712317e+01,3.711009e+01,3.709700e+01,3.711009e+01,3.713625e+01,3.709700e+01,3.712317e+01,3.713625e+01,3.720161e+01,3.721468e+01,3.726694e+01,3.724081e+01,3.720161e+01,3.717547e+01,3.713625e+01,3.717547e+01,3.721468e+01,3.720161e+01,3.713625e+01,3.707084e+01,3.708392e+01,3.712317e+01,3.714932e+01,3.713625e+01,3.712317e+01,3.716240e+01,3.721468e+01,3.722775e+01,3.731917e+01,3.727999e+01,3.724081e+01,3.727999e+01,3.726694e+01,3.729306e+01,3.729306e+01,3.727999e+01,3.722775e+01,3.713625e+01,3.714932e+01
3.716240e+01,3.713625e+01,3.714932e+01,3.714932e+01,3.716240e+01,3.716240e+01,3.718854e+01,3.717547e+01,3.722775e+01,3.729306e+01,3.721468e+01,3.717547e+01,3.717547e+01,3.720161e+01,3.725387e+01,3.717547e+01,3.714932e+01,3.711009e+01,3.708392e+01,3.714932e+01,3.712317e+01,3.713625e+01,3.714932e+01,3.721468e+01,3.716240e+01,3.721468e+01,3.716240e+01,3.713625e+01,3.717547e+01,3.718854e+01,3.712317e+01,3.713625e+01,3.713625e+01,3.713625e+01,3.714932e+01,3.712317e+01,3.712317e+01,3.712317e+01,3.713625e+01,3.718854e+01,3.714932e+01,3.716240e+01,3.720161e+01,3.721468e+01,3.722775e+01,3.724081e+01,3.722775e+01,3.721468e+01,3.722775e+01,3.718854e+01,3.709700e+01,3.714932e+01,3.718854e+01,3.712317e+01,3.713625e+01,3.704467e+01,3.713625e+01,3.711009e+01,3.717547e+01,3.714932e+01,3.714932e+01,3.720161e+01,3.712317e+01,3.721468e+01,3.718854e+01,3.716240e+01,3.721468e+01,3.720161e+01,3.720161e+01,3.718854e+01,3.718854e+01,3.714932e+01,3.712317e+01,3.711009e+01,3.713625e+01,3.713625e+01,3.712317e+01,3.711009e+01,3.711009e+01,3.713625e+01,3.714932e+01,3.713625e+01,3.712317e+01,3.713625e+01,3.721468e+01,3.730611e+01,3.722775e+01,3.718854e+01,3.726694e+01,3.733222e+01,3.733222e+01,3.726694e+01,3.720161e+01,3.717547e+01,3.716240e+01,3.717547e+01
