,,,,2.269954e+01,2.271337e+01,2.274101e+01,2.283770e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.269954e+01,2.269954e+01,2.272719e+01,2.275483e+01,2.279627e+01,2.274101e+01,2.281008e+01,2.272719e+01,2.275483e+01,2.268572e+01,2.272719e+01,2.271337e+01,2.276865e+01,2.269954e+01,2.275483e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.269954e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.269954e+01,2.269954e+01,2.274101e+01,2.272719e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.271337e+01,2.267189e+01,2.268572e+01,2.271337e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.271337e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.268572e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.269954e+01,2.278246e+01,2.269954e+01,2.279627e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.271337e+01,2.278246e+01,2.269954e+01,,,
,,,2.272719e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.278246e+01,2.271337e+01,2.274101e+01,2.275483e+01,2.264423e+01,2.271337e+01,2.272719e+01,2.269954e+01,2.272719e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.271337e+01,2.268572e+01,2.271337e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.279627e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.279627e+01,2.279627e+01,2.278246e+01,2.282389e+01,2.283770e+01,2.278246e+01,2.272719e+01,2.268572e+01,2.267189e+01,2.267189e+01,2.269954e+01,2.271337e+01,2.268572e+01,2.269954e+01,2.274101e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.281008e+01,2.281008e+01,2.281008e+01,2.283770e+01,2.279627e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.271337e+01,2.269954e+01,2.271337e+01,2.260272e+01,2.278246e+01,2.271337e+01,2.263039e+01,2.268572e+01,2.281008e+01,2.274101e+01,2.269954e+01,2.271337e+01,2.272719e+01,2.276865e+01,2.271337e+01,2.271337e+01,,,
,,,2.271337e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.269954e+01,2.274101e+01,2.271337e+01,2.276865e+01,2.279627e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.271337e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.278246e+01,2.279627e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.281008e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.279627e+01,2.278246e+01,2.283770e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.269954e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.279627e+01,2.282389e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.268572e+01,2.276865e+01,2.278246e+01,2.272719e+01,2.271337e+01,2.271337e+01,2.275483e+01,2.269954e+01,2.276865e+01,2.275483e+01,2.281008e+01,2.278246e+01,2.278246e+01,,,
,,,2.275483e+01,2.269954e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.269954e+01,2.275483e+01,2.274101e+01,2.269954e+01,2.272719e+01,2.267189e+01,2.276865e+01,2.278246e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.272719e+01,2.276865e+01,2.283770e+01,2.269954e+01,2.275483e+01,2.274101e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.281008e+01,2.283770e+01,2.286530e+01,2.286530e+01,2.283770e+01,2.283770e+01,2.283770e+01,2.279627e+01,2.275483e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.278246e+01,2.279627e+01,2.279627e+01,2.274101e+01,2.271337e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.279627e+01,2.279627e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.278246e+01,2.272719e+01,2.272719e+01,2.269954e+01,2.265806e+01,2.268572e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.281008e+01,2.278246e+01,,
,,2.275483e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.267189e+01,2.264423e+01,2.275483e+01,2.279627e+01,2.276865e+01,2.272719e+01,2.269954e+01,2.263039e+01,2.268572e+01,2.279627e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.278246e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.271337e+01,2.271337e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.283770e+01,2.275483e+01,2.271337e+01,2.269954e+01,2.271337e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.279627e+01,2.281008e+01,2.279627e+01,2.279627e+01,2.274101e+01,2.268572e+01,2.268572e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.271337e+01,2.269954e+01,2.272719e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.272719e+01,2.272719e+01,2.282389e+01,2.276865e+01,2.276865e+01,2.258888e+01,2.272719e+01,2.267189e+01,2.267189e+01,2.274101e+01,2.269954e+01,2.268572e+01,2.279627e+01,2.281008e+01,2.279627e+01,2.281008e+01,2.276865e+01,2.276865e+01,2.276865e+01,,
,,2.283770e+01,2.283770e+01,2.272719e+01,2.271337e+01,2.271337e+01,2.271337e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.269954e+01,2.265806e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.279627e+01,2.281008e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.279627e+01,2.276865e+01,2.279627e+01,2.281008e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.279627e+01,2.279627e+01,2.282389e+01,2.276865e+01,2.272719e+01,2.271337e+01,2.267189e+01,2.271337e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.279627e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.269954e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.279627e+01,2.282389e+01,2.282389e+01,2.276865e+01,2.278246e+01,2.269954e+01,2.271337e+01,2.268572e+01,2.268572e+01,2.271337e+01,2.267189e+01,2.274101e+01,2.279627e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.276865e+01,
,,2.282389e+01,2.275483e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.271337e+01,2.272719e+01,2.271337e+01,2.269954e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.276865e+01,2.279627e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.274101e+01,2.278246e+01,2.275483e+01,2.268572e+01,2.279627e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.271337e+01,2.269954e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.275483e+01,2.279627e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.279627e+01,2.276865e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.272719e+01,2.278246e+01,2.279627e+01,2.275483e+01,2.279627e+01,2.276865e+01,2.272719e+01,2.269954e+01,2.271337e+01,2.269954e+01,2.271337e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.271337e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.278246e+01,
,2.276865e+01,2.276865e+01,2.281008e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.267189e+01,2.272719e+01,2.275483e+01,2.268572e+01,2.267189e+01,2.268572e+01,2.271337e+01,2.271337e+01,2.274101e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.268572e+01,2.278246e+01,2.272719e+01,2.275483e+01,2.271337e+01,2.274101e+01,2.272719e+01,2.281008e+01,2.278246e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.269954e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.271337e+01,2.271337e+01,2.272719e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.269954e+01,2.267189e+01,2.264423e+01,2.267189e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.276865e+01,2.283770e+01,2.282389e+01,2.278246e+01,2.282389e+01,2.279627e+01,2.282389e+01,2.279627e+01,2.278246e+01,2.281008e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.281008e+01,2.274101e+01,2.265806e+01,2.271337e+01,2.268572e+01,2.272719e+01,2.275483e+01,2.292049e+01,2.282389e+01,2.278246e+01,2.275483e+01,2.272719e+01,2.269954e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.275483e+01,
,2.278246e+01,2.278246e+01,2.279627e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.271337e+01,2.268572e+01,2.271337e+01,2.272719e+01,2.272719e+01,2.281008e+01,2.282389e+01,2.283770e+01,2.282389e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.269954e+01,2.274101e+01,2.271337e+01,2.278246e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.268572e+01,2.269954e+01,2.269954e+01,2.269954e+01,2.272719e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.278246e+01,2.281008e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.278246e+01,2.279627e+01,2.281008e+01,2.276865e+01,2.278246e+01,2.282389e+01,2.279627e+01,2.279627e+01,2.278246e+01,2.275483e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.279627e+01,2.276865e+01,2.275483e+01,2.283770e+01,2.279627e+01,2.271337e+01,2.269954e+01,2.272719e+01,2.267189e+01,2.272719e+01,2.279627e+01,2.279627e+01,2.278246e+01,2.276865e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.274101e+01,
,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.283770e+01,2.276865e+01,2.272719e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.279627e+01,2.272719e+01,2.271337e+01,2.275483e+01,2.275483e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.285150e+01,2.282389e+01,2.281008e+01,2.276865e+01,2.276865e+01,2.279627e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.271337e+01,2.271337e+01,2.269954e+01,2.268572e+01,2.268572e+01,2.271337e+01,2.271337e+01,2.271337e+01,2.275483e+01,2.279627e+01,2.275483e+01,2.275483e+01,2.279627e+01,2.279627e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.271337e+01,2.271337e+01,2.267189e+01,2.278246e+01,2.282389e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.269954e+01,2.267189e+01,2.268572e+01,2.272719e+01,2.271337e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.283770e+01,2.286530e+01
,2.276865e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.274101e+01,2.264423e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.279627e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.278246e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.269954e+01,2.268572e+01,2.268572e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.278246e+01,2.279627e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.282389e+01,2.272719e+01,2.269954e+01,2.268572e+01,2.268572e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.283770e+01,2.279627e+01
2.276865e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.272719e+01,2.276865e+01,2.274101e+01,2.269954e+01,2.274101e+01,2.278246e+01,2.281008e+01,2.282389e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.276865e+01,2.272719e+01,2.265806e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.276865e+01,2.279627e+01,2.274101e+01,2.275483e+01,2.279627e+01,2.276865e+01,2.274101e+01,2.279627e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.269954e+01,2.271337e+01,2.267189e+01,2.268572e+01,2.271337e+01,2.272719e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.278246e+01,2.272719e+01,2.271337e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.279627e+01,2.286530e+01,2.286530e+01,2.276865e+01,2.276865e+01,2.279627e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.269954e+01,2.263039e+01,2.267189e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.274101e+01
2.275483e+01,2.276865e+01,2.279627e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.278246e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.279627e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.271337e+01,2.275483e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.272719e+01,2.269954e+01,2.272719e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.272719e+01,2.279627e+01,2.281008e+01,2.281008e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.271337e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.283770e+01,2.278246e+01,2.268572e+01,2.268572e+01,2.267189e+01,2.268572e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.279627e+01,2.279627e+01,2.276865e+01,2.275483e+01,2.276865e+01
2.276865e+01,2.278246e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.271337e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.281008e+01,2.282389e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.281008e+01,2.281008e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.272719e+01,2.271337e+01,2.276865e+01,2.271337e+01,2.269954e+01,2.274101e+01,2.275483e+01,2.278246e+01,2.278246e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.268572e+01,2.267189e+01,2.265806e+01,2.265806e+01,2.267189e+01,2.269954e+01,2.272719e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.279627e+01,2.283770e+01,2.279627e+01,2.274101e+01,2.271337e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.278246e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.278246e+01,2.281008e+01,2.278246e+01,2.272719e+01,2.281008e+01
2.279627e+01,2.278246e+01,2.278246e+01,2.278246e+01,2.274101e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.279627e+01,2.276865e+01,2.278246e+01,2.275483e+01,2.276865e+01,2.282389e+01,2.279627e+01,2.276865e+01,2.274101e+01,2.279627e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.272719e+01,2.268572e+01,2.269954e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.271337e+01,2.271337e+01,2.268572e+01,2.265806e+01,2.268572e+01,2.271337e+01,2.268572e+01,2.268572e+01,2.272719e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.274101e+01,2.272719e+01,2.279627e+01,2.278246e+01,2.272719e+01,2.269954e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.272719e+01,2.271337e+01,2.276865e+01,2.279627e+01,2.271337e+01,2.278246e+01
2.278246e+01,2.276865e+01,2.272719e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.279627e+01,2.276865e+01,2.283770e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.278246e+01,2.269954e+01,2.269954e+01,2.274101e+01,2.279627e+01,2.278246e+01,2.276865e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.272719e+01,2.276865e+01,2.283770e+01,2.283770e+01,2.282389e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.267189e+01,2.264423e+01,2.271337e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.274101e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.274101e+01,2.272719e+01,2.271337e+01,2.271337e+01,2.272719e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.279627e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.271337e+01,2.274101e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.272719e+01,2.278246e+01,2.278246e+01,2.271337e+01,2.271337e+01
2.276865e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.271337e+01,2.271337e+01,2.274101e+01,2.274101e+01,2.278246e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.275483e+01,2.272719e+01,2.272719e+01,2.272719e+01,2.271337e+01,2.272719e+01,2.283770e+01,2.278246e+01,2.283770e+01,2.279627e+01,2.278246e+01,2.271337e+01,2.278246e+01,2.275483e+01,2.281008e+01,2.278246e+01,2.281008e+01,2.275483e+01,2.278246e+01,2.279627e+01,2.281008e+01,2.281008e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.269954e+01,2.275483e+01,2.276865e+01,2.275483e+01,2.278246e+01,2.276865e+01,2.274101e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.275483e+01,2.278246e+01,2.278246e+01,2.276865e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.269954e+01,2.272719e+01,2.271337e+01,2.279627e+01,2.276865e+01,2.279627e+01,2.275483e+01,2.278246e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.275483e+01,2.272719e+01,2.271337e+01
2.281008e+01,2.276865e+01,2.276865e+01,2.272719e+01,2.274101e+01,2.279627e+01,2.275483e+01,2.278246e+01,2.281008e+01,2.278246e+01,2.276865e+01,2.281008e+01,2.278246e+01,2.278246e+01,2.272719e+01,2.271337e+01,2.278246e+01,2.275483e+01,2.275483e+01,2.282389e+01,2.278246e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.275483e+01,2.272719e+01,2.275483e+01,2.271337e+01,2.274101e+01,2.271337e+01,2.274101e+01,2.272719e+01,2.279627e+01,2.276865e+01,2.278246e+01,2.281008e+01,2.281008e+01,2.272719e+01,2.278246e+01,2.271337e+01,2.268572e+01,2.268572e+01,2.268572e+01,2.265806e+01,2.267189e+01,2.269954e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.282389e+01,2.281008e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.274101e+01,2.274101e+01,2.275483e+01,2.276865e+01,2.278246e+01,2.279627e+01,2.278246e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.276865e+01,2.274101e+01,2.274101e+01,2.276865e+01,2.275483e+01,2.276865e+01,2.274101e+01,2.269954e+01,2.271337e+01,2.269954e+01,2.269954e+01,2.274101e+01,2.278246e+01,2.276865e+01,2.278246e+01,2.276865e+01,2.281008e+01,2.272719e+01,2.281008e+01,2.278246e+01,2.276865e+01,2.275483e+01,2.272719e+01,2.276865e+01,2.276865e+01,2.269954e+01,2.269954e+01
